"","x"
"233",359
"234",686
"235",687
"236",1258
"237",1259
"238",1272
"239",1273
"240",748
"241",749
"242",1186
"243",1187
"244",1254
"245",1255
"246",1228
"247",1229
"248",1174
"249",1175
"250",1150
"251",1151
"252",1178
"253",1179
"254",1146
"255",1147
"256",982
"257",983
"258",810
"259",811
"260",578
"261",579
"262",706
"263",707
"264",1136
"265",1137
"266",286
"267",287
"268",1156
"269",1157
"270",1060
"271",1061
"272",1160
"273",1161
"274",1162
"275",1163
"276",1188
"277",1189
"278",606
"279",607
"280",1166
"281",1167
"282",1234
"283",1235
"284",1240
"285",1241
"286",1242
"287",1243
"288",1184
"289",1185
"290",1142
"291",1143
"292",1158
"293",1159
"294",1196
"295",1197
"296",1262
"297",1263
"298",738
"299",739
"300",282
"301",283
"302",1032
"303",1033
"304",962
"305",963
"306",1208
"307",1209
"308",794
"309",795
"310",292
"311",293
"312",1210
"313",1211
"314",1040
"315",1041
"316",1202
"317",1203
"318",740
"319",741
"320",670
"321",671
"322",452
"323",453
"324",844
"325",845
"326",1218
"327",1219
"328",1224
"329",1225
"330",1230
"331",1231
"332",346
"333",347
"334",1128
"335",1129
"336",1172
"337",1173
"338",1022
"339",1023
"340",454
"341",455
"342",1216
"343",1217
"344",1192
"345",1193
"346",976
"347",977
"348",900
"349",901
"350",916
"351",917
"352",888
"353",889
"354",1034
"355",1035
"356",884
"357",885
"358",290
"359",291
"360",278
"361",279
"362",988
"363",989
"364",746
"365",747
"366",624
"367",625
"368",966
"369",967
"370",268
"371",269
"372",1180
"373",1181
"374",488
"375",489
"376",316
"377",317
"378",314
"379",315
"380",322
"381",323
"382",318
"383",319
"384",464
"385",465
"386",1182
"387",1183
"388",896
"389",897
"390",1164
"391",1165
"392",1252
"393",1253
"394",1140
"395",1141
"396",356
"397",357
"398",1256
"399",1257
"400",1290
"401",1291
"402",350
"403",351
"404",1246
"405",1247
"406",1214
"407",1215
"408",336
"409",337
"410",348
"411",349
"412",874
"413",875
"414",404
"415",405
"416",692
"417",693
"418",244
"419",245
"420",854
"421",855
"422",1278
"423",1279
"424",252
"425",253
"426",1120
"427",1121
"428",1280
"429",1281
"430",394
"431",395
"432",248
"433",249
"434",1010
"435",1011
"436",1076
"437",1077
"438",240
"439",241
"440",852
"441",853
"442",484
"443",485
"444",500
"445",501
"446",592
"447",593
"448",800
"449",801
"450",508
"451",509
"452",1288
"453",1289
"454",918
"455",919
"456",1236
"457",1237
"458",408
"459",409
"460",1284
"461",1285
"462",1286
"463",1287
"464",1274
"465",1275
"466",250
"467",251
"468",366
"469",367
"470",1292
"471",1293
"472",478
"473",479
"474",364
"475",365
"476",552
"477",553
"478",236
"479",237
"480",1270
"481",1271
"482",228
"483",229
"484",1294
"485",1295
"486",990
"487",991
"488",1096
"489",1097
"490",1100
"491",1101
"492",1238
"493",1239
"494",502
"495",503
"496",276
"497",277
"498",908
"499",909
"500",332
"501",333
"502",330
"503",331
"504",324
"505",325
"506",326
"507",327
"508",320
"509",321
"510",306
"511",307
"512",304
"513",305
"514",994
"515",995
"516",296
"517",297
"518",300
"519",301
"520",334
"521",335
"522",302
"523",303
"524",256
"525",257
"526",264
"527",265
"528",310
"529",311
"530",312
"531",313
"532",328
"533",329
"534",338
"535",339
"536",340
"537",341
"538",342
"539",343
"540",1064
"541",1065
"542",254
"543",255
"544",642
"545",643
"546",270
"547",271
"548",952
"549",953
"550",960
"551",961
"552",672
"553",673
"554",584
"555",585
"556",882
"557",883
"558",704
"559",705
"560",850
"561",851
"562",856
"563",857
"564",868
"565",869
"566",892
"567",893
"568",1226
"569",1227
"570",434
"571",435
"572",758
"573",759
"574",840
"575",841
"576",1148
"577",1149
"578",1250
"579",1251
"580",1154
"581",1155
"582",288
"583",289
"584",798
"585",799
"586",22
"587",23
"588",1066
"589",1067
"590",148
"591",149
"592",30
"593",31
"594",266
"595",267
"596",126
"597",127
"598",958
"599",959
"600",608
"601",609
"602",158
"603",159
"604",506
"605",507
"606",128
"607",129
"608",32
"609",33
"610",262
"611",263
"612",16
"613",17
"614",6
"615",7
"616",372
"617",373
"618",4
"619",5
"620",588
"621",589
"622",2
"623",3
"624",222
"625",223
"626",816
"627",817
"628",518
"629",519
"630",694
"631",695
"632",1090
"633",1091
"634",1190
"635",1191
"636",1282
"637",1283
"638",1024
"639",1025
"640",562
"641",563
"642",544
"643",545
"644",586
"645",587
"646",566
"647",567
"648",1118
"649",1119
"650",782
"651",783
"652",678
"653",679
"654",524
"655",525
"656",700
"657",701
"658",910
"659",911
"660",926
"661",927
"662",618
"663",619
"664",600
"665",601
"666",744
"667",745
"668",472
"669",473
"670",716
"671",717
"672",516
"673",517
"674",440
"675",441
"676",414
"677",415
"678",1296
"679",1297
"680",514
"681",515
"682",458
"683",459
"684",828
"685",829
"686",1014
"687",1015
"688",1002
"689",1003
"690",998
"691",999
"692",632
"693",633
"694",1302
"695",1303
"696",914
"697",915
"698",510
"699",511
"700",422
"701",423
"702",1114
"703",1115
"704",824
"705",825
"706",876
"707",877
"708",984
"709",985
"710",972
"711",973
"712",416
"713",417
"714",786
"715",787
"716",450
"717",451
"718",218
"719",219
"720",1232
"721",1233
"722",382
"723",383
"724",662
"725",663
"726",710
"727",711
"728",894
"729",895
"730",1042
"731",1043
"732",772
"733",773
"734",1204
"735",1205
"736",650
"737",651
"738",766
"739",767
"740",792
"741",793
"742",534
"743",535
"744",118
"745",119
"746",426
"747",427
"748",140
"749",141
"750",1300
"751",1301
"752",122
"753",123
"754",284
"755",285
"756",76
"757",77
"758",1074
"759",1075
"760",74
"761",75
"762",728
"763",729
"764",210
"765",211
"766",212
"767",213
"768",116
"769",117
"770",842
"771",843
"772",280
"773",281
"774",582
"775",583
"776",1152
"777",1153
"778",486
"779",487
"780",152
"781",153
"782",150
"783",151
"784",142
"785",143
"786",1194
"787",1195
"788",144
"789",145
"790",1048
"791",1049
"792",418
"793",419
"794",1200
"795",1201
"796",536
"797",537
"798",528
"799",529
"800",732
"801",733
"802",512
"803",513
"804",980
"805",981
"806",768
"807",769
"808",652
"809",653
"810",646
"811",647
"812",870
"813",871
"814",698
"815",699
"816",430
"817",431
"818",956
"819",957
"820",814
"821",815
"822",802
"823",803
"824",790
"825",791
"826",628
"827",629
"828",490
"829",491
"830",494
"831",495
"832",934
"833",935
"834",466
"835",467
"836",1012
"837",1013
"838",970
"839",971
"840",482
"841",483
"842",676
"843",677
"844",668
"845",669
"846",428
"847",429
"848",684
"849",685
"850",626
"851",627
"852",784
"853",785
"854",498
"855",499
"856",400
"857",401
"858",504
"859",505
"860",448
"861",449
"862",476
"863",477
"864",574
"865",575
"866",712
"867",713
"868",846
"869",847
"870",708
"871",709
"872",750
"873",751
"874",378
"875",379
"876",836
"877",837
"878",788
"879",789
"880",936
"881",937
"882",688
"883",689
"884",924
"885",925
"886",374
"887",375
"888",912
"889",913
"890",906
"891",907
"892",776
"893",777
"894",474
"895",475
"896",946
"897",947
"898",780
"899",781
"900",60
"901",61
"902",56
"903",57
"904",818
"905",819
"906",680
"907",681
"908",46
"909",47
"910",294
"911",295
"912",40
"913",41
"914",880
"915",881
"916",50
"917",51
"918",48
"919",49
"920",42
"921",43
"922",202
"923",203
"924",522
"925",523
"926",54
"927",55
"928",52
"929",53
"930",64
"931",65
"932",1212
"933",1213
"934",796
"935",797
"936",160
"937",161
"938",214
"939",215
"940",72
"941",73
"942",722
"943",723
"944",920
"945",921
"946",938
"947",939
"948",34
"949",35
"950",68
"951",69
"952",216
"953",217
"954",66
"955",67
"956",62
"957",63
"958",424
"959",425
"960",36
"961",37
"962",1260
"963",1261
"964",146
"965",147
"966",1008
"967",1009
"968",630
"969",631
"970",762
"971",763
"972",182
"973",183
"974",114
"975",115
"976",156
"977",157
"978",124
"979",125
"980",154
"981",155
"982",1046
"983",1047
"984",112
"985",113
"986",944
"987",945
"988",456
"989",457
"990",1062
"991",1063
"992",208
"993",209
"994",778
"995",779
"996",108
"997",109
"998",110
"999",111
"1000",106
"1001",107
"1002",542
"1003",543
"1004",120
"1005",121
"1006",82
"1007",83
"1008",480
"1009",481
"1010",78
"1011",79
"1012",80
"1013",81
"1014",308
"1015",309
"1016",90
"1017",91
"1018",98
"1019",99
"1020",720
"1021",721
"1022",238
"1023",239
"1024",812
"1025",813
"1026",84
"1027",85
"1028",86
"1029",87
"1030",354
"1031",355
"1032",1248
"1033",1249
"1034",88
"1035",89
"1036",496
"1037",497
"1038",898
"1039",899
"1040",992
"1041",993
"1042",104
"1043",105
"1044",634
"1045",635
"1046",196
"1047",197
"1048",806
"1049",807
"1050",1106
"1051",1107
"1052",298
"1053",299
"1054",170
"1055",171
"1056",176
"1057",177
"1058",178
"1059",179
"1060",180
"1061",181
"1062",58
"1063",59
"1064",172
"1065",173
"1066",1122
"1067",1123
"1068",192
"1069",193
"1070",194
"1071",195
"1072",198
"1073",199
"1074",200
"1075",201
"1076",590
"1077",591
"1078",184
"1079",185
"1080",380
"1081",381
"1082",242
"1083",243
"1084",38
"1085",39
"1086",376
"1087",377
"1088",1004
"1089",1005
"1090",1168
"1091",1169
"1092",460
"1093",461
"1094",206
"1095",207
"1096",100
"1097",101
"1098",44
"1099",45
"1100",344
"1101",345
"1102",96
"1103",97
"1104",92
"1105",93
"1106",682
"1107",683
"1108",102
"1109",103
"1110",204
"1111",205
"1112",640
"1113",641
"1114",352
"1115",353
"1116",886
"1117",887
"1118",820
"1119",821
"1120",190
"1121",191
"1122",616
"1123",617
"1124",1138
"1125",1139
"1126",164
"1127",165
"1128",168
"1129",169
"1130",166
"1131",167
"1132",188
"1133",189
"1134",186
"1135",187
"1136",1104
"1137",1105
"1138",70
"1139",71
"1140",162
"1141",163
"1142",1068
"1143",1069
"1144",234
"1145",235
"1146",258
"1147",259
"1148",530
"1149",531
"1150",94
"1151",95
"1152",12
"1153",13
"1154",18
"1155",19
"1156",14
"1157",15
"1158",20
"1159",21
"1160",274
"1161",275
"1162",770
"1163",771
"1164",930
"1165",931
"1166",1082
"1167",1083
"1168",756
"1169",757
"1170",848
"1171",849
"1172",260
"1173",261
"1174",690
"1175",691
"1176",410
"1177",411
"1178",272
"1179",273
"1180",230
"1181",231
"1182",858
"1183",859
"1184",28
"1185",29
"1186",950
"1187",951
"1188",446
"1189",447
"1190",232
"1191",233
"1192",10
"1193",11
"1194",174
"1195",175
"1196",24
"1197",25
"1198",26
"1199",27
"1200",1222
"1201",1223
"1202",130
"1203",131
"1204",132
"1205",133
"1206",1198
"1207",1199
"1208",134
"1209",135
"1210",138
"1211",139
"1212",136
"1213",137
"1214",1016
"1215",1017
"1216",8
"1217",9
"1218",664
"1219",665
"1220",702
"1221",703
"1222",644
"1223",645
"1224",558
"1225",559
"1226",736
"1227",737
"1228",388
"1229",389
"1230",386
"1231",387
"1232",554
"1233",555
"1234",656
"1235",657
"1236",412
"1237",413
"1238",402
"1239",403
"1240",406
"1241",407
"1242",392
"1243",393
"1244",1072
"1245",1073
"1246",1030
"1247",1031
"1248",492
"1249",493
"1250",444
"1251",445
"1252",1044
"1253",1045
"1254",1054
"1255",1055
"1256",622
"1257",623
"1258",470
"1259",471
"1260",1028
"1261",1029
"1262",1050
"1263",1051
"1264",1058
"1265",1059
"1266",1038
"1267",1039
"1268",1036
"1269",1037
"1270",468
"1271",469
"1272",666
"1273",667
"1274",436
"1275",437
"1276",1020
"1277",1021
"1278",390
"1279",391
"1280",550
"1281",551
"1282",1298
"1283",1299
"1284",396
"1285",397
"1286",1078
"1287",1079
"1288",964
"1289",965
"1290",968
"1291",969
"1292",996
"1293",997
"1294",724
"1295",725
"1296",1094
"1297",1095
"1298",978
"1299",979
"1300",838
"1301",839
"1302",948
"1303",949
"1304",1304
"1305",1
